家賃（円）,徒歩（分）,専有面積（㎡）,築年数（年）,階数（階）,新築,二階以上,南向き,駐車場,オートロック,エアコン,バストイレ別,追い焚き,フローリング,ペット相談可
88500,10,20.7,3,8,0
86700,10,20.7,3,7,0
87300,10,20.7,3,2,0
88200,10,20.7,3,9,0
170000,10,41.4,3,11
83000,10,20.7,3,2,0
100000,13,25.21,2,3
170000,13,52.36,2,11
105000,13,25.63,2,11
83000,5,22.85,1,2,0
56000,10,12.5,0,1,1
65000,10,12.5,0,2,1
56000,10,12,0,1,1
63000,10,12,0,2,1
67000,10,12,0,2,1
87000,9,20.79,4,5,0
85000,9,21.88,4,3,0
64000,4,11.28,2,1,0
67000,4,12.73,2,2,0
140000,7,31.7,1,4,0
113000,7,25.1,0,2,1
117000,7,25.06,0,5,1
113000,7,25.1,0,2,1
110000,7,25.06,0,1,1
114000,7,25.1,0,3,1
87000,12,23,1,1,0
170000,13,52.36,2,11,0
105000,13,25.63,2,11,0
